name_of_covered_entity,state,covered_entity_type,individuals_affected,breach_submission_date,type_of_breach,location_of_breached_information,business_associate_present,web_description,year,month,breach_type_hacking_it_incident,breach_type_improper_disposal,breach_type_loss,breach_type_other,breach_type_theft,breach_type_unauthorized_access_disclosure,breach_type_unknown,primary_breach_type,location_desktop_computer,location_electronic_medical_record,location_email,location_laptop,location_network_server,location_other,location_other_portable_electronic_device,location_paper_films,primary_location,is_mega_breach,breach_size_tier,log_individuals_affected,quarter,days_since_epoch,ba_present,entity_business_associate,entity_health_plan,entity_healthcare_clearing_house,entity_healthcare_provider,region,breach_type_gap,location_gap
Woodlawn Hospital,IN,Healthcare Provider,62278,2025-08-25,Hacking/IT Incident,Network Server,No,"
The covered entity (CE), Woodlawn Hospital, reported that it experienced a cyber-attack that compromised the protected health information (PHI of 62,278 individuals, The PHI involved included, demographic and clinical information. The CE notified HHS, the affected individuals, the media, and provided substitute notice. In its mitigation efforts, the CE provided complimentary credit monitoring and restoration services and implemented additional administrative and technical safeguards.",2025,8,True,False,False,False,False,False,False,Hacking/IT Incident,False,False,False,False,True,False,False,False,Network Server,0,Medium,11.039379569300081,3,4611,0,False,False,False,True,Midwest,Technical Safeguard Failure,Technical Safeguard Failure
Aspire Rural Health System,MI,Healthcare Provider,138386,2025-08-20,Unauthorized Access/Disclosure,Network Server,No,,2025,8,False,False,False,False,False,True,False,Unauthorized Access/Disclosure,False,False,False,False,True,False,False,False,Network Server,0,Large,11.83780938711811,3,4606,0,False,False,False,True,Midwest,Administrative Safeguard Failure,Technical Safeguard Failure
Cancer Care Center of North Florida,FL,Healthcare Provider,1798,2025-08-15,Hacking/IT Incident,Network Server,Yes,"Cancer Care Center of North Florida, the covered entity (CE), reported that its business associate (BA) experienced a cybersecurity attack that compromised the protected health information (PHI) of 1,798 individuals. The PHI involved included names, addresses, dates of birth, drivers’ license numbers, social security numbers, diagnoses/conditions, diagnostic imaging, diagnostic test results, lab results, medications, financial and health insurance information, and other treatment information. The CE notified HHS, the affected individuals, and the media about the breach as well as posting substitute notice on its website. In its mitigation efforts, the BA implemented additional administrative, technical, and security safeguards to better protect PHI.",2025,8,True,False,False,False,False,False,False,Hacking/IT Incident,False,False,False,False,True,False,False,False,Network Server,0,Small,7.4949862339505335,3,4601,1,False,False,False,True,South,Technical Safeguard Failure,Technical Safeguard Failure
University of Michigan/Michigan Medicine,MI,Healthcare Provider,1015,2025-08-13,Unauthorized Access/Disclosure,Paper/Films,No,"The covered entity (CE), University of Michigan, reported that an employee mailed a postcard which exposed the protected health information (PHI) of 1,015 individuals. The PHI involved included names, addresses, and diagnoses/conditions. The CE notified HHS, affected individuals, and the media. In response to the breach, the CE implemented additional administrative and technical safeguards to better protect PHI. Staff were retrained.",2025,8,False,False,False,False,False,True,False,Unauthorized Access/Disclosure,False,False,False,False,False,False,False,True,Paper/Films,0,Small,6.923628628138427,3,4599,0,False,False,False,True,Midwest,Administrative Safeguard Failure,Physical Safeguard Failure
Integrated Orthopedics of Arizona,AZ,Healthcare Provider,2916,2025-08-11,Hacking/IT Incident,Email,No,"The covered entity (CE), Integrated Orthopedics of Arizona, reported that an employee was the victim of an email phishing scheme that affected the protected health information (PHI) of 2,916 individuals. The PHI involved included demographic, clinical, and financial information. The CE notified HHS, the affected individuals, the media, and posted substitute notice on its website. In response to the breach, the CE provided complimentary credit monitoring to the affected individuals and implemented additional administrative and technical safeguards. Staff were retrained.",2025,8,True,False,False,False,False,False,False,Hacking/IT Incident,False,False,True,False,False,False,False,False,Email,0,Small,7.978310969867722,3,4597,0,False,False,False,True,West,Technical Safeguard Failure,Technical/Administrative Safeguard Failure
Anderson & Kreiger LLP,MA,Business Associate,1607,2025-08-08,Hacking/IT Incident,Network Server,Yes,"The covered entity (CE), Anderson & Kreiger LLP, reported that its business associate (BA) was the subject of a ransomware attack that affected the protected health information (PHI) of 1,607 individuals. The PHI involved included clinical and demographic information. The CE notified HHS, the affected individuals, the media, and posted substitute notice on their website. ",2025,8,True,False,False,False,False,False,False,Hacking/IT Incident,False,False,False,False,True,False,False,False,Network Server,0,Small,7.382746449738912,3,4594,1,True,False,False,False,Northeast,Technical Safeguard Failure,Technical Safeguard Failure
West Texas Oral Facial Surgery,TX,Healthcare Provider,11151,2025-08-02,Hacking/IT Incident,Network Server,No,"The covered entity (CE), West Texas Oral Facial Surgery, reported that it was the subject of a ransomware attack that affected the protected health information (PHI) of 11,151 individuals. The PHI involved included demographic and clinical information. The CE notified HHS, the affected individuals, the media, and provided substitute notice. In response to the breach, the CE implemented additional administrative, technical, and security safeguards, and retrained workforce members to better protect its PHI.",2025,8,True,False,False,False,False,False,False,Hacking/IT Incident,False,False,False,False,True,False,False,False,Network Server,0,Medium,9.319374133000306,3,4588,0,False,False,False,True,South,Technical Safeguard Failure,Technical Safeguard Failure
AVALA Holdings,LA,Healthcare Provider,22732,2025-07-29,Hacking/IT Incident,Email,No,"The covered entity (CE), AVALA Holdings, reported that multiple employees were the subjects of an email phishing scheme that affected the protected health information (PHI) of 22,732 individuals. The PHI involved included clinical and demographic information. The CE notified HHS, the affected individuals, the media, and provided substitute notice.  In response to the breach, the CE provided complimentary credit monitoring services to the affected individuals and implemented additional administrative, technical, and security safeguards to better protect PHI.",2025,7,True,False,False,False,False,False,False,Hacking/IT Incident,False,False,True,False,False,False,False,False,Email,0,Medium,10.031572892299346,3,4584,0,False,False,False,True,South,Technical Safeguard Failure,Technical/Administrative Safeguard Failure
Valley Mountain Regional Center,CA,Business Associate,529,2025-07-25,Unauthorized Access/Disclosure,Network Server,No,"Valley Mountain Regional Center, the business associate (BA), reported that an employee posted the protected health information (PHI) of 529 individuals on its website. The PHI involved included names, addresses, phone numbers, and other identifiers. The BA notified HHS, the affected individuals, and the media. In its mitigation efforts, the BA revised its policies and procedures and implemented additional administrative and security safeguards.

",2025,7,False,False,False,False,False,True,False,Unauthorized Access/Disclosure,False,False,False,False,True,False,False,False,Network Server,0,Small,6.272877006546167,3,4580,0,True,False,False,False,West,Administrative Safeguard Failure,Technical Safeguard Failure
OB/GYN Medical Center Associates,TX,Healthcare Provider,2132,2025-07-23,Hacking/IT Incident,Network Server,Yes,"The covered entity (CE), OB/GYN Medical Center Associates, reported that it experienced a hacking attack that compromised the protected health information (PHI) of 2,132 individuals. The PHI involved included clinical information. The CE notified HHS, the affected individuals, the media, and provided substitute notice. In response to the breach, the CE implemented additional administrative, technical, and security safeguards to better protect its PHI.",2025,7,True,False,False,False,False,False,False,Hacking/IT Incident,False,False,False,False,True,False,False,False,Network Server,0,Small,7.665284718471351,3,4578,1,False,False,False,True,South,Technical Safeguard Failure,Technical Safeguard Failure
Jack L Marcus,WI,Business Associate,705,2025-07-14,Unauthorized Access/Disclosure,Network Server,Yes,"The business associate (BA), Jack L Marcus, reported that the BA’s website impermissibly disclosed the protected health information (PHI) of 705 individuals. The PHI involved was limited to the treatment facility names where inmates in the Wisconsin Department of Corrections were located. The BA notified HHS, the affected individuals, the media, and provided substitute notice. In response to the breach, the BA implemented additional administrative, technical, and security safeguards. Staff members were retrained.",2025,7,False,False,False,False,False,True,False,Unauthorized Access/Disclosure,False,False,False,False,True,False,False,False,Network Server,0,Small,6.559615237493242,3,4569,1,True,False,False,False,Midwest,Administrative Safeguard Failure,Technical Safeguard Failure
Regional Center of the East Bay,CA,Healthcare Provider,689,2025-07-09,Unauthorized Access/Disclosure,Laptop,No,"The covered entity (CE), Regional Center of the East Bay, reported that an employee sent an email containing the protected health information (PHI) of 689 individuals to an unintended recipient.  The PHI involved included names, dates of birth, and other identifiers. The CE notified HHS, the affected individuals, and the media regarding the breach.  In response to the breach the CE sent an email reminder to all employees regarding its HIPAA compliance policies and procedures and provided written counseling to the affected employee.",2025,7,False,False,False,False,False,True,False,Unauthorized Access/Disclosure,False,False,False,True,False,False,False,False,Laptop,0,Small,6.536691597591305,3,4564,0,False,False,False,True,West,Administrative Safeguard Failure,Physical/Technical Safeguard Failure
